ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-05-25,147.0143342694631,118.8668942975168,168.81984743456695,146.90410666958547,147.0968834209628,-4.061933981030398,-4.061933981030398,-4.061933981030398,-4.061933981030398,-4.061933981030398,-4.061933981030398,0.0,0.0,0.0,142.9524002884327
2022-05-26,145.78573859832508,116.08618059419575,169.10265675455037,145.57380895538512,145.98972269416595,-3.471363085661455,-3.471363085661455,-3.471363085661455,-3.471363085661455,-3.471363085661455,-3.471363085661455,0.0,0.0,0.0,142.31437551266362
2022-05-27,144.55714292718687,112.34186801014957,164.7342754018019,144.23997264310978,144.91260220188653,-3.5212504282656267,-3.5212504282656267,-3.5212504282656267,-3.5212504282656267,-3.5212504282656267,-3.5212504282656267,0.0,0.0,0.0,141.03589249892124
2022-05-28,143.32854725604878,127.21958818840346,180.2139663052193,142.90075890727593,143.81233266865885,9.274024380142937,9.274024380142937,9.274024380142937,9.274024380142937,9.274024380142937,9.274024380142937,0.0,0.0,0.0,152.60257163619173
2022-05-29,142.09995158491057,124.91022685052691,177.40835682729076,141.55802475046255,142.71760295898434,9.274024405195636,9.274024405195636,9.274024405195636,9.274024405195636,9.274024405195636,9.274024405195636,0.0,0.0,0.0,151.3739759901062
2022-05-30,140.87135591377256,109.67243220942952,162.41065553468803,140.20379252502448,141.65839698498863,-4.48395153606891,-4.48395153606891,-4.48395153606891,-4.48395153606891,-4.48395153606891,-4.48395153606891,0.0,0.0,0.0,136.38740437770366
2022-05-31,139.64276024263427,109.82448235515545,163.23857276690788,138.86131747484708,140.6071197080682,-3.0095497542897642,-3.0095497542897642,-3.0095497542897642,-3.0095497542897642,-3.0095497542897642,-3.0095497542897642,0.0,0.0,0.0,136.6332104883445
2022-06-01,138.41416457149626,109.35974661767621,160.47593283274495,137.443608117737,139.5958652613682,-4.061933981032147,-4.061933981032147,-4.061933981032147,-4.061933981032147,-4.061933981032147,-4.061933981032147,0.0,0.0,0.0,134.3522305904641
2022-06-02,137.18556890035805,108.97327922792836,160.85977278019308,136.02345420091234,138.5254565934137,-3.4713630856657747,-3.4713630856657747,-3.4713630856657747,-3.4713630856657747,-3.4713630856657747,-3.4713630856657747,0.0,0.0,0.0,133.71420581469226
2022-06-03,135.95697322922004,107.07902975810504,159.78584403945936,134.57137069920725,137.4513216670642,-3.521250428308047,-3.521250428308047,-3.521250428308047,-3.521250428308047,-3.521250428308047,-3.521250428308047,0.0,0.0,0.0,132.435722800912
2022-06-04,134.72837755808175,116.45566336538808,169.99163220036837,133.11764295467964,136.5636090743475,9.27402438016112,9.27402438016112,9.27402438016112,9.27402438016112,9.27402438016112,9.27402438016112,0.0,0.0,0.0,144.00240193824285
2022-06-05,133.4997818869437,116.8379325550996,169.97572131051658,131.6753939834765,135.60526115355435,9.274024405191966,9.274024405191966,9.274024405191966,9.274024405191966,9.274024405191966,9.274024405191966,0.0,0.0,0.0,142.77380629213567
2022-06-06,132.27118621580553,101.40182356195464,154.17256485174653,130.23557954078868,134.708901484208,-4.483951536067262,-4.483951536067262,-4.483951536067262,-4.483951536067262,-4.483951536067262,-4.483951536067262,0.0,0.0,0.0,127.78723467973826
2022-06-07,131.0425905446674,101.54634248520046,152.31334104896055,128.79598475302674,133.65917564708747,-3.009549754285976,-3.009549754285976,-3.009549754285976,-3.009549754285976,-3.009549754285976,-3.009549754285976,0.0,0.0,0.0,128.03304079038142
2022-06-08,129.81399487352923,100.94201078019888,152.90197489663996,127.33147251708056,132.7178850596191,-4.0619339810299335,-4.0619339810299335,-4.0619339810299335,-4.0619339810299335,-4.0619339810299335,-4.0619339810299335,0.0,0.0,0.0,125.75206089249929
2022-06-09,128.5853992023912,100.45022777908001,151.95534630494402,125.8881094219569,131.7482178886811,-3.471363085661688,-3.471363085661688,-3.471363085661688,-3.471363085661688,-3.471363085661688,-3.471363085661688,0.0,0.0,0.0,125.1140361167295
2022-06-10,127.356803531253,96.13704987585444,150.3324606354608,124.42926192553483,130.75948107559697,-3.521250428284727,-3.521250428284727,-3.521250428284727,-3.521250428284727,-3.521250428284727,-3.521250428284727,0.0,0.0,0.0,123.83555310296826
