,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1822,2021-03-17,15.185159977744991,6.7525674462809375,22.941610514224287,15.185159977744991,15.185159977744991,-0.34735436716967627,-0.34735436716967627,-0.34735436716967627,0.6190339828335649,0.6190339828335649,0.6190339828335649,-0.9663883500032411,-0.9663883500032411,-0.9663883500032411,0.0,0.0,0.0,14.837805610575314
1823,2021-03-18,15.229056418874153,6.036539758010991,23.230268480465863,15.229056418874153,15.229056418874153,-0.3882135925480155,-0.3882135925480155,-0.3882135925480155,0.5622922683102071,0.5622922683102071,0.5622922683102071,-0.9505058608582225,-0.9505058608582225,-0.9505058608582225,0.0,0.0,0.0,14.840842826326137
1824,2021-03-19,15.272952860003299,7.0486164443098485,23.344954341867435,15.272952860003299,15.272952860003299,-0.29619039680476866,-0.29619039680476866,-0.29619039680476866,0.6427043268644622,0.6427043268644622,0.6427043268644622,-0.9388947236692308,-0.9388947236692308,-0.9388947236692308,0.0,0.0,0.0,14.976762463198531
1825,2021-03-22,15.404642183390765,6.8090523061282004,22.8416769803288,15.404642183390765,15.404642183390765,-0.3751709047645227,-0.3751709047645227,-0.3751709047645227,0.5494574238184929,0.5494574238184929,0.5494574238184929,-0.9246283285830157,-0.9246283285830157,-0.9246283285830157,0.0,0.0,0.0,15.029471278626241
1826,2021-03-23,15.448538624519925,6.572477584121102,23.653261921268193,15.448538624519925,15.448538624519925,-0.30615352731437284,-0.30615352731437284,-0.30615352731437284,0.6187259806923537,0.6187259806923537,0.6187259806923537,-0.9248795080067266,-0.9248795080067266,-0.9248795080067266,0.0,0.0,0.0,15.142385097205551
1827,2021-03-24,15.492435065649085,6.59248050544648,23.345484536708348,15.492435065649085,15.492435065649085,-0.3076592930038324,-0.3076592930038324,-0.3076592930038324,0.6190339828335838,0.6190339828335838,0.6190339828335838,-0.926693275837416,-0.926693275837416,-0.926693275837416,0.0,0.0,0.0,15.184775772645253
1828,2021-03-25,15.53633150677823,6.8664282383534125,24.365545816729398,15.53633150677823,15.53633150677823,-0.36724241014182885,-0.36724241014182885,-0.36724241014182885,0.5622922683100819,0.5622922683100819,0.5622922683100819,-0.9295346784519107,-0.9295346784519107,-0.9295346784519107,0.0,0.0,0.0,15.169089096636402
1829,2021-03-26,15.58022794790739,7.149641041165264,24.31878079105506,15.58022794790739,15.58022794790739,-0.29020918650749916,-0.29020918650749916,-0.29020918650749916,0.6427043268630449,0.6427043268630449,0.6427043268630449,-0.932913513370544,-0.932913513370544,-0.932913513370544,0.0,0.0,0.0,15.290018761399892
1830,2021-03-29,15.711917271294844,6.692768533346159,24.097827282716327,15.711917271294844,15.711917271294844,-0.3929151150860815,-0.3929151150860815,-0.3929151150860815,0.5494574238183354,0.5494574238183354,0.5494574238183354,-0.942372538904417,-0.942372538904417,-0.942372538904417,0.0,0.0,0.0,15.319002156208763
1831,2021-03-30,15.755813712424004,7.114984182356638,24.172956371068686,15.755813712424004,15.755813712424004,-0.3256965844205809,-0.3256965844205809,-0.3256965844205809,0.6187259806906836,0.6187259806906836,0.6187259806906836,-0.9444225651112645,-0.9444225651112645,-0.9444225651112645,0.0,0.0,0.0,15.430117128003424
1832,2021-03-31,15.79971015355315,7.3779451613671,23.83090768869567,15.79971015355315,15.79971015355315,-0.3266935395714811,-0.3266935395714811,-0.3266935395714811,0.6190339828334004,0.6190339828334004,0.6190339828334004,-0.9457275224048814,-0.9457275224048814,-0.9457275224048814,0.0,0.0,0.0,15.473016613981668
1833,2021-04-01,15.84360659468231,7.434920770869789,23.968216039836193,15.84360659468231,15.84360659468231,-0.38403780335934246,-0.38403780335934246,-0.38403780335934246,0.5622922683113311,0.5622922683113311,0.5622922683113311,-0.9463300716706736,-0.9463300716706736,-0.9463300716706736,0.0,0.0,0.0,15.459568791322967
1834,2021-04-05,16.019192359198936,6.809247585485491,24.226911922788965,16.019192359198936,16.019192359198936,-0.39680558931188287,-0.39680558931188287,-0.39680558931188287,0.5494574238215643,0.5494574238215643,0.5494574238215643,-0.9462630131334471,-0.9462630131334471,-0.9462630131334471,0.0,0.0,0.0,15.622386769887052
1835,2021-04-06,16.06308880032808,6.784982077759113,24.269261174539796,16.06308880032808,16.06308880032808,-0.3288771234913157,-0.3288771234913157,-0.3288771234913157,0.6187259806911176,0.6187259806911176,0.6187259806911176,-0.9476031041824333,-0.9476031041824333,-0.9476031041824333,0.0,0.0,0.0,15.734211676836766
